Sample_Name	AP011213.1	JX534239.1	JX978723.1	KR816507.1	KR866125.1	KX641475.1	KX964606.1	LC541478.1	MF804538.1	MN400429.1	NC_001640.1	NC_001700.1	NC_001913.1	NC_001960.1	NC_002008.4	NC_002355.1	NC_003128.3	NC_003192.1	NC_003408.1	NC_003489.1	NC_004069.1	NC_004419.1	NC_004926.1	NC_005033.1	NC_005037.1	NC_005292.1	NC_006076.1	NC_006295.1	NC_006853.1	NC_006880.1	NC_006992.1	NC_007439.1	NC_007691.1	NC_007895.1	NC_008066.1	NC_008140.1	NC_008434.1	NC_008449.1	NC_008644.1	NC_009579.1	NC_009626.1	NC_009687.1	NC_009711.1	NC_010197.1	NC_010773.1	NC_011075.1	NC_011389.1	NC_011626.1	NC_011638.1	NC_011710.1	NC_012095.1	NC_012389.1	NC_012569.1	NC_012901.1	NC_012920.1	NC_013183.1	NC_013184.1	NC_013246.1	NC_013434.1	NC_013568.1	NC_013700.1	NC_013815.1	NC_013978.1	NC_014295.1	NC_014342.1	NC_014809.1	NC_014861.1	NC_014866.1	NC_015073.1	NC_015101.1	NC_015236.1	NC_015526.1	NC_015614.1	NC_015888.1	NC_015987.1	NC_016420.1	NC_016870.1	NC_016956.1	NC_018134.1	NC_018367.1	NC_018536.1	NC_018549.1	NC_020028.1	NC_020046.1	NC_020048.1	NC_020338.1	NC_020585.1	NC_020637.1	NC_020645.1	NC_021469.1	NC_021478.1	NC_021763.1	NC_022418.1	NC_022707.1	NC_022721.1	NC_022854.1	NC_023080.1	NC_023253.1	NC_023258.1	NC_023453.1	NC_023803.1	NC_023823.1	NC_023828.1	NC_023839.1	NC_024103.1	NC_024559.1	NC_024586.1	NC_024733.1	NC_024751.1	NC_024927.1	NC_024939.1	NC_025225.1	NC_025316.1	NC_025500.1	NC_025504.1	NC_025521.1	NC_025580.1	NC_025637.1	NC_025923.1	NC_026063.1	NC_026079.1	NC_026082.1	NC_026124.1	NC_026529.1	NC_026709.1	NC_026712.1	NC_027503.1	NC_027605.1	NC_027961.1	NC_028049.1	NC_028229.1	NC_028725.1	NC_029215.1	NC_029252.1	NC_029403.1	NC_029457.1	NC_029755.1	NC_029771.1	NC_030041.1	NC_030518.1	NC_030603.1	NC_030633.1	NC_030764.1	NC_031332.1	NC_031362.1	NC_031447.1	NC_034296.1	NC_035106.1	NC_035866.1	NC_035976.1	NC_036351.1	NC_036369.1	NC_036948.1	NC_038207.1	NC_038219.1	NC_039104.1	NC_039888.1	NC_041412.1	NC_041647.1	NC_042168.1	NC_046036.1	NC_046756.1	NC_047480.1	NC_048487.1	NC_048988.1	NC_048989.1	NC_048990.1	NC_049858.1	NC_051486.1	NC_053523.1	NC_056403.1	NC_056780.1	NC_059757.1	NC_060839.1	NC_061250.1	NC_061975.1	NC_062715.1	NC_062716.1	NC_065213.1	NC_066925.1	NC_067498.1	NC_068236.1	NC_069637.1	OM736804.1
SRR23971420	0	0	0	0	0	2	0	1	0	0	0	9	3	0	6	0	0	0	17	0	2	0	0	0	0	0	0	0	1	0	0	0	4	0	0	0	4	0	0	0	0	0	0	0	0	0	0	0	9	1	4	0	1	0	286	0	4	0	0	0	12	0	612	0	0	0	0	0	0	0	1	26	0	0	0	0	0	0	3	0	0	0	0	0	0	0	0	0	0	0	10	0	605	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3	0	0	0	0	0	0	4	535	0	0	0	0	0	0	0	0	2	0	59	0	0	0	0	0	0	0	0	0	0	0	0	0	9	0	0	0	0	0	0	0	0	1	0	333	4	0	0	0	0	0	0	0	1	1	0	0	31196	0	0	0	35	0	0	0	0	0	1	0	0	0	0
SRR23971421	0	0	0	0	0	222	0	1	0	0	0	0	10	0	19	0	0	0	1	0	6	0	0	0	0	0	0	0	2	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	8	0	64	0	0	0	41	0	0	0	0	0	18	0	267	0	0	0	0	0	0	0	0	49	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	15	0	293	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	1	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	1	33	0	0	0	0	0	0	0	0	0	0	0	0	3296	0	0	0	0	0	0	0	0	0	0	0	0	0	0
SRR23971422	0	0	0	1	0	12	0	0	0	1	0	0	962	0	41	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	2	2	0	1	0	3	0	0	0	7	0	0	0	0	0	150	0	24	0	0	0	2	0	0	0	0	14	0	0	2	0	0	0	1	2	0	0	0	0	0	0	0	0	1	0	1068	0	58	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	63	0	0	0	0	0	0	0	0	0	12	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	10	0	0	0	0	0	0	0	0	0	0	0	0	0	39	0	0	0	0	0	0	0	22	0	0	0	0	0	0
SRR23971423	0	0	0	1	2	43	11	0	0	0	5	2	97	0	182	0	0	0	6	0	3	0	109	1	0	0	0	0	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	6	0	1	0	5	0	0	0	28	0	1	0	0	0	59	0	27	0	0	0	0	0	0	0	0	55	1	3	1	0	0	1	3	7	0	0	0	0	0	0	2	0	5	0	61	0	72	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4	0	0	0	0	0	0	1	2	0	1	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	45	0	0	0	0	0	0	8	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	40	0	0	0	0	0	0	0	742	0	3	0	0	0	0
SRR23971424	0	0	0	2	44	13	107	0	0	0	8	28	159	0	495	0	0	0	7	0	3	0	11	1	1	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	5	9	0	6	0	15	0	0	0	55	0	0	0	0	0	978	0	25	0	0	0	0	0	0	1	2	127	0	1	4	0	0	0	0	82	0	0	0	0	0	0	1	0	1	0	2837	0	291	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	7	1	0	0	0	0	0	65	1	0	13	0	0	0	0	0	0	0	0	0	0	0	3	0	0	0	7	0	0	0	0	0	0	8	0	0	0	0	0	2	0	0	0	30	0	0	0	0	0	0	0	0	0	0	0	0	0	307	0	0	0	2	0	0	0	27	1	0	0	13	0	0
SRR23971425	0	0	0	4	6	23	50	0	0	1	0	0	491	0	948	0	0	0	1	0	14	0	5	2	0	0	0	2	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	4	0	35	0	8	0	0	0	12	0	0	0	0	0	259	0	3	0	0	0	0	0	0	0	1	118	0	0	1	0	0	0	1	8	0	0	0	1	0	0	3	0	0	0	83	0	72	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	11	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	10	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	1	0	0	0	141	0	0	0	0	2	0	0	3	0	0	0	0	0	0
SRR23971426	0	0	0	16	0	8	18	0	0	0	0	0	49	0	131	0	0	2	0	0	92	0	206	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	115	0	0	0	0	0	0	1	7	0	0	0	0	0	7	0	2	0	0	0	0	0	0	0	0	226	0	0	14	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	91	0	11	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	21	0	0	0	0	0	0	1	66	0	0	0	0	0	0	0	0	0	0	16	0	0	0	0	0	0	2	0	0	0	0	0	0	2	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	4446	0	0	0	10	3	0	0	9	0	0	0	0	0	0
SRR23971427	0	0	0	0	82	66	2746	0	0	0	0	2	15	0	65	0	0	0	270	0	0	0	0	17	0	92	0	3	7	0	1	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	89	0	79	1	6	0	0	5	47	2	177	0	0	0	4	0	16	0	0	0	1	0	0	0	12	12	0	1	1	0	0	2	0	0	0	0	0	0	0	0	1	37	51	0	7	0	16	0	0	0	0	0	0	1	0	1	0	0	0	0	0	0	0	0	0	0	13	1	390	0	0	0	0	1042	84	0	0	0	0	0	0	8	0	44	0	1	3	0	0	0	0	0	3456	0	0	0	0	0	0	6	0	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	1	0	0	144	0	0	33	43	2	0	0	120	0	0	0	0	0	0
SRR23971428	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3	0	0	0	422	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	10	0	0	0	0	0	0	0	0	248	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
SRR23971429	0	0	0	0	0	0	0	0	0	0	0	0	0	0	83	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	316	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	5	0	0	0	0	0	0	0	4	0	0	0	0	0	0	0	0	0	0	7	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	5	0	0	0	0	0	0	0	0	0	0	0	0	0	0
SRR23971430	0	0	0	0	0	0	41	0	0	0	0	0	0	0	2333	0	0	0	5	0	0	0	0	0	0	0	0	0	28	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1601	0	0	0	0	0	0	0	57	0	0	0	0	0	0	0	0	295	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	131	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	6	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	696	0	0	0	0	0	0	0	0	0	0	0	0	0	0
SRR23971431	0	0	1	0	0	0	0	0	0	0	0	31	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	91	0	0	0	0	0	0	0	0	0	0	0	0	1	2	0	0	0	0	22	0	0	0	0	0	0	0	0	0	0	0	0	0	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
SRR23971432	0	0	0	0	0	0	0	0	0	0	0	16	0	0	0	0	0	41	0	10	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	36	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3	0	0	0	0	0	0	0	0	0	0	0	0	7	0	0	0	0	0	0	0	1	0	0	0	0	23	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	24	0	2
SRR23971433	0	0	0	0	0	0	0	0	0	0	0	19	11	0	3	0	0	0	40	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	10	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	1	0	0	0	0	66	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	66	0	0	0	0	0	0	0	0	0	1	0	0	0	0
SRR23971434	0	0	0	0	1	12	0	0	0	0	0	10	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	1	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0
SRR23971435	0	0	0	0	0	0	0	0	0	0	0	15	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	59	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	243	0	0	0	94	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	9	0	0	0	0	0
SRR23971436	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	65	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	7	0	0	0	0	0	0	0	0	0	0	0	0	0	0
SRR23971437	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
SRR23971438	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	8	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
